136396,1
136392,1
136390,1
136389,1
136387,1
136381,1
136371,1
136349,1
136344,1
136342,1
136341,1
136336,1
136333,1
136331,1
136327,1
136322,1
136321,1
136316,1
136311,1
136307,1
136303,1
136295,1
136291,1
136285,1
136278,1
136276,1
136275,1
136269,1
136268,1
136264,1
136262,1
136261,0
136260,1
136256,0
136251,1
136250,1
136242,1
136238,1
136219,1
136199,1
136197,1
136192,1
136180,1
136178,1
136176,1
136174,1
136171,1
136169,1
136155,1
136149,1
136143,1
136141,1
136139,1
136136,0
136129,1
136114,1
136110,0
136108,1
136105,1
136104,1
136100,1
136097,1
136096,1
136094,1
136084,1
136075,1
136073,1
136071,1
136066,1
136061,1
136052,1
136036,1
136021,1
136017,0
136014,1
136011,1
136008,1
136001,0
135992,1
135991,1
135990,1
135984,1
135982,1
135981,1
135975,1
135969,1
135962,1
135945,1
135944,1
135938,1
135929,1
135928,1
135925,1
135922,1
135919,1
135911,1
135909,1
135908,1
135899,1
135892,1
135886,1
135880,1
135879,1
135878,1
135874,1
135873,1
135871,1
135870,1
135869,1
135868,1
135863,1
135859,1
135849,1
135847,1
135831,1
135824,1
135821,1
135810,1
135804,1
135789,1
135770,1
135768,1
135766,0
135765,1
135761,1
135756,1
135752,1
135745,1
135696,1
135686,1
135685,1
135684,1
135680,1
135675,1
135674,1
135659,0
135652,1
135648,1
135644,0
135639,1
135625,1
135622,1
135609,1
135608,1
135603,1
135599,1
135594,1
135593,1
135590,1
135588,1
135583,1
135576,1
135574,1
135563,1
135559,1
135558,1
135554,1
135551,1
135547,1
135533,0
135528,1
135521,1
135520,1
135518,1
135515,1
135508,1
135504,0
135500,1
135499,1
135496,1
135494,0
135487,1
135465,1
135457,1
135438,1
135429,0
135423,1
135421,1
135420,1
135418,1
135410,1
135408,1
135402,1
135400,1
135381,0
135380,1
135379,1
135370,1
135359,1
135342,1
135341,0
135332,1
135324,1
135319,1
135318,1
135317,1
135315,1
135310,1
135308,1
135306,1
135302,1
135298,1
135290,1
135272,1
135264,1
135260,1
135257,1
135256,1
135252,0
135251,1
135250,1
135248,1
135246,1
135239,1
135237,1
135221,1
135218,1
135217,1
135204,1
135198,1
135197,1
135193,1
135185,1
135184,0
135181,1
135180,1
135177,1
135173,0
135168,1
135152,1
135143,1
135139,1
135136,1
135134,1
135127,1
135123,1
135121,1
135106,1
135103,1
135097,1
135095,0
135085,1
135083,0
135081,1
135080,0
135072,1
135069,1
135065,1
135061,1
135052,1
135051,1
135048,1
135044,1
135038,1
135034,1
135028,1
135019,1
135007,1
134997,1
134985,1
134974,1
134973,0
134954,1
134944,1
134940,0
134933,1
134927,0
134918,1
